Company,Source / Entry point,Sector/Industry,HQ / Locations,Employee count / Size,Website,General email,Phone,LinkedIn URL,HR/People contact (name),HR contact title,HR contact email,HR mailbox (confirmed),HR contact email — inferred (pattern + basis),"CEO/Leadership (name, small cos)",Leadership email,Source(s),Relevance note,Status,All emails found (verbatim),Inferred emails (pattern + basis)
Pikolin (Grupo Pikolin),PLAZA Logística (plazalogistica.com),Mattress & bedding manufacturing — Manufacturing (2nd-largest in Europe; largest family group),"PLAZA, Zaragoza — Ronda del Ferrocarril, Parcela ALIF 1-124, 50197 (group HQ Zaragoza)","3,000+ staff across 10 factories; €482M turnover (LinkedIn/company)",www.grupopikolin.com,corporativo@grupopikolin.com,976 300 030,linkedin.com/company/pikolin,Isabel Banzo (+ Alberto Quirante Ruiz),"Iberia HR Senior Director / CHRO, Pikolin Group (Alberto: Gestor de RRHH)",Not published — LinkedIn only,No dedicated HR mailbox published — recruits via Teamtailor portal (pikolin.teamtailor.com) + InfoJobs,"isabel.banzo@grupopikolin.com — INFERRED (pattern first.last, RocketReach 92.8%); alt ibanzo@grupopikolin.com. Unverified.",,,"PLAZA directory; grupopikolin.com; LinkedIn (company+people, unverified)",TOP TARGET. Major Zaragoza manufacturer & employer with large HR function; relocation/expansion housing very plausible.,enriched,corporativo@grupopikolin.com (contact page); ecommerce@pikolin.com; dpo.pikolin@portalartico.es (DPO/privacy),isabel.banzo@grupopikolin.com; alberto.quirante@grupopikolin.com — first.last (RocketReach 92.8%) (UNVERIFIED) [VERIFIED: isabel.banzo@/alberto.quirante@ not found published; pattern plausible only]
DHL Parcel,PLAZA Logística (plazalogistica.com),Parcel & courier logistics — large multinational,"PLAZA, Zaragoza hub (global HQ Bonn, Germany)","Multinational (DHL Group 100,000+ globally); Zaragoza = regional hub",www.dhl.com,,,No dedicated DHL Parcel Iberia page found (DHL Group global only),,,,No public email found,,,,PLAZA directory,TOP by size but no findable Spain/Iberia LinkedIn page or local email. HR/housing centralised — approach via DHL Group careers or the Zaragoza hub manager. Genuinely no public local contact.,list-only,None found verbatim,Pattern undetermined (DHL global; no Zaragoza/Parcel-specific email)
Bilstein Group,PLAZA Logística (plazalogistica.com),Automotive aftermarket parts (febi/SWAG/Blue Print) — Motor Vehicle Manufacturing,"PLAZA, Zaragoza site (global HQ Ennepetal, Germany)","1,001-5,000 (group, LinkedIn)",www.bilsteingroup.com,,,linkedin.com/company/bilsteingroup,,,,No public email found,,,,"PLAZA directory; LinkedIn (company, unverified)","HIGH by size (1,001-5,000) but CONFIRMED no Zaragoza/Spain HR on LinkedIn — HR sits at German HQ (Ennepetal). Approach the Spain branch/distribution manager or German HR.",partial,None found verbatim,"Pattern undetermined — group pattern first.last@bilsteingroup.com (RocketReach), no named contact"
Fronius España S.L.U.,PLAZA Logística (plazalogistica.com),"Industrial tech — welding, solar energy, battery charging (Appliances/Electrical Mfg)","PLAZA, Zaragoza — C/Bílbilis 18, Nave C-56, 50197 (Spain HQ Getafe, Madrid; group HQ Austria)","Spain subsidiary of Fronius International (~7,000+ globally)",www.fronius.es,martinez.david@fronius.com,976 702 171,linkedin.com/company/froniusespana,Gloria Encinas (+ Facundo García Parra),"HR National, Fronius España",Not published — LinkedIn only,No HR mailbox published — careers portal; PLAZA-site address martinez.david@fronius.com listed (general),"gloria.encinas@fronius.com — INFERRED (group pattern first.last 91.9%, RocketReach); alt encinas.gloria@fronius.com (matches published martinez.david@fronius.com). Unverified.",,,"PLAZA directory; fronius.es; LinkedIn (people, unverified)","HIGH. Austrian multinational; technicians/expats & training visitors — strong corporate-housing fit. Note: Spain HQ is Madrid, Zaragoza is a branch.",enriched,martinez.david@fronius.com; contact-spain@fronius.com (ES form); sales.spain@fronius.com; sales.spain@fronius.com (ES contact),encinas.gloria@fronius.com; garcia.facundo@fronius.com — last.first per seed (alt first.last: gloria.encinas@/facundo.garcia@) (UNVERIFIED)
Esprinet (Esprinet Ibérica),PLAZA Logística (plazalogistica.com),Wholesale distribution of IT & consumer electronics (IT Services / distribution),"PLAZA, Zaragoza — C/Osca 2, Nave 1, 50197 (Esprinet group HQ Italy)","1,001-5,000 (Esprinet group, LinkedIn)",www.esprinet.com,Info_es@esprinet.com,976 971 100,linkedin.com/company/esprinet (Esprinet Ibérica is part of group),Begoña Huerta (+ Esperanza Rubiato),"Especialista / Técnico de RRHH, Esprinet Ibérica",Not published — LinkedIn only,"No HR mailbox — recepcion@esprinet.com (Zaragoza reception, general, Empresite) + InfoJobs careers","begona.huerta@esprinet.com — INFERRED (pattern first.last 90.8%, RocketReach; ñ→n); alt b.huerta@esprinet.com. Unverified.",,,"PLAZA directory; esprinet.com; LinkedIn (people, unverified)",HIGH. Large multinational distributor; management/relocation housing potential.,enriched,Info_es@esprinet.com; recepcion@esprinet.com,begona.huerta@esprinet.com; esperanza.rubiato@esprinet.com — first.last (RocketReach 80.4%) (UNVERIFIED) [VERIFIED: first.last confirmed (RocketReach 61.5%)]
Disfrimur,PLAZA Logística (plazalogistica.com),Refrigerated road transport & logistics (Transportation/Logistics) — family-owned,"PLAZA, Zaragoza — C/Ronda de la Feria de Muestras 10, AP-2, 50197 (group HQ Murcia)","501-1,000 (group, LinkedIn)",www.disfrimur.com,jrivera@disfrimur.com,876 55 01 80,linkedin.com/company/grupo-disfrimur,Andrés Ibáñez Gálvez (+ Andrea Roca),"Recursos Humanos, Disfrimur S.L.",Not published — LinkedIn only,No HR mailbox published — InfoJobs + web 'Bolsa de trabajo',"aibanez@disfrimur.com — INFERRED (pattern first-initial+last, basis published jrivera@disfrimur.com; ñ→n); alt a.ibanez@disfrimur.com. Unverified.",,,"PLAZA directory; disfrimur.com; LinkedIn (people, unverified)","HIGH. Refrigerated transport — drivers/ops staff, multi-site; housing for relocated/rotating staff plausible. Group HQ Murcia.",enriched,jrivera@disfrimur.com; info@disfrimur.com; info@disfrimur.com,"aibanez@disfrimur.com; aroca@disfrimur.com — finitial+last (RocketReach 100%, matches seed) (UNVERIFIED) [VERIFIED: finitial+last confirmed]"
Avanzar (Avanzar Transportes),PLAZA Logística (plazalogistica.com),Logistics & transport — urgent/express freight (Transportation/Logistics),"PLAZA, Zaragoza — C/Bílbilis 18, Nave C-58, 50197",11-50 (LinkedIn),www.avanzartransportes.com,info@avanzartransportes.com,976 735 132,linkedin.com/company/avanzar-transportes-es,,,,No HR mailbox — general info@avanzartransportes.com only,Pattern undetermined (only generic info@ published). Low-confidence guess gsedeno@avanzartransportes.com — UNVERIFIED guess.,Guillermo Sedeño,Not published — LinkedIn only,"PLAZA directory; company site; LinkedIn (people, unverified)","HIGH-MED. Small Zaragoza transport operator — no HR dept, so approach the managing director directly. Drivers/ops housing possible.",enriched,info@avanzartransportes.com,"gsedeno@avanzartransportes.com — finitial+last best-guess, low confidence (UNVERIFIED)"
Airtex Products S.A.,PLAZA Logística (plazalogistica.com),Automotive components manufacturing — water & fuel pumps; part of ASC Industries group,"PLAZA, Zaragoza — C/Osca 2, Parcela ALI 10.4, Nave 5, 50197",,www.airtex.es,atencionalcliente@airtex.es,976 464 242,No LinkedIn company page found (confirmed twice),,,,No HR-specific mailbox found — general atencionalcliente@airtex.es,,,,PLAZA directory; airtex.es,MED-HIGH. Multinational-owned manufacturer (ASC group); engineers/expats may need housing. No LinkedIn page — approach via atencionalcliente@airtex.es / ASC group.,partial,atencionalcliente@airtex.es; customerservice.airtex@trico-group.com,Pattern undetermined (no named contact)
Air Fren S.L.,PLAZA Logística (plazalogistica.com),Automotive components manufacturing — pneumatic brake valves for industrial vehicles (est. 1983),"PLAZA, Zaragoza — C/Carae 7, Parcela 12.7, 50197",11-50 listed on LinkedIn (manufacturer),www.airfren.com,airfren@airfren.com,976 504 039,linkedin.com/company/air-fren-sl,,,,No HR mailbox — general airfren@airfren.com only,Pattern undetermined (only generic airfren@ published). Low-confidence guess jvelilla@airfren.com — UNVERIFIED guess.,Jesus Velilla,Not published — LinkedIn only,"PLAZA directory; airfren.com; LinkedIn (people, unverified)",MED. SME manufacturer; no HR dept — approach Director General. Production staff may need temporary housing.,enriched,airfren@airfren.com; tecnico@airfren.com; calidad@airfren.com,"jvelilla@airfren.com — finitial+last best-guess, low confidence (UNVERIFIED)"
Bancalé Servicios Integrales,PLAZA Logística (plazalogistica.com),"Integrated logistics & services group (parent: Bancalé family office, Investment Management)","PLAZA, Zaragoza — C/Osca 2, Parcelas ALI 10.4/24/6.3, 50197",~50+ listed (LinkedIn); diversified group,www.bancale.es,info@bancale.es,976 238 960,linkedin.com/company/bancalé,Laura Fabre Luengo,"People Operations Manager / HRBP, Grupo Bancalé",Not published — LinkedIn only,No HR mailbox — general info@bancale.es only,"lfabre@bancale.es — INFERRED (pattern first-initial+last, RocketReach 100%). Unverified but high-confidence pattern.",Jorge Gracia Trullenque,Not published — LinkedIn only (Director Family Office),"PLAZA directory; bancale.es; LinkedIn (people, unverified)",HIGH-MED. Aragonese logistics/services group with a dedicated People function — good direct HR contact.,enriched,info@bancale.es,lfabre@bancale.es; jgracia@bancale.es — finitial+last (RocketReach 100%) (UNVERIFIED)
